epoch,lr,loss,fire_loss,other_loss,effective_rollout_steps,teacher_forcing_ratio,prob_mae_mean,best_iou_mean,spread_iou_at_best,dice_at_best,recall_at_best,mpd_at_best,save_thr,ious_by_thr
59,0.0002954445583636515,3.5299743175506593,1.5888442754745484,0.4089265942573547,3,0.5785714285714285,0.16185422241687775,0.9182097584878719,0.5984431051148345,0.9486751507302383,0.9661973109192763,0.4869392081099881,0.6,"{0.2: 0.5236964368061291, 0.3: 0.8339887883479554, 0.4: 0.8910828882005288, 0.5: 0.9094204350056725, 0.6: 0.9182097584878719, 0.7: 0.9142483601957673, 0.8: 0.8997445526583064}"
64,0.0002774275491977922,4.378137016296387,1.9610481977462768,0.5157546997070312,4,0.5428571428571429,0.1515012135108312,0.9208126149692735,0.6111069329126574,0.9499337219796868,0.9664260830193504,0.46671455602693357,0.6,"{0.2: 0.5915869438275824, 0.3: 0.8576819752562584, 0.4: 0.8982821730152147, 0.5: 0.9129239147943204, 0.6: 0.9208126149692735, 0.7: 0.9170780091360508, 0.8: 0.9032560635121188}"
69,0.00024742647851355997,4.299489307403564,1.9435304164886475,0.4705126881599426,4,0.5071428571428571,0.14225627099856353,0.9226918057389887,0.6231607958195361,0.9508712758487824,0.9670336339879532,0.45186895658786624,0.6,"{0.2: 0.6469358864015466, 0.3: 0.8725797531351531, 0.4: 0.9038066378775431, 0.5: 0.915649918958922, 0.6: 0.9226918057389887, 0.7: 0.9202777507675334, 0.8: 0.9073595261187972}"
74,0.0002083780601392783,4.242081165313721,1.918398880958557,0.4508547127246857,4,0.4714285714285714,0.1340385942887037,0.9247255385857047,0.6317920070918362,0.9520223479531594,0.967193376727434,0.43655871476277186,0.6,"{0.2: 0.6888181778622423, 0.3: 0.8837048654845315, 0.4: 0.9087984232567822, 0.5: 0.9188607497847869, 0.6: 0.9247255385857047, 0.7: 0.9224848118991505, 0.8: 0.9117713628444029}"
79,0.00016410462533175042,4.276351356506348,1.931421709060669,0.46020800471305845,4,0.4357142857142857,0.12704470448004893,0.9273144794203299,0.6444948248695623,0.9535899970514973,0.968769956561215,0.4193098332487507,0.6,"{0.2: 0.72316296544366, 0.3: 0.8928356898361315, 0.4: 0.9120675824505327, 0.5: 0.9220518745872903, 0.6: 0.9273144794203299, 0.7: 0.9254166986401154, 0.8: 0.9152988103292213}"
84,0.00011893996636109602,4.223343753814698,1.9177814245223999,0.4376864433288574,4,0.4,0.12095061613199039,0.9291986675343714,0.6554846825870414,0.9546430461432607,0.9696652857799973,0.4062819117746907,0.6,"{0.2: 0.7588156521337921, 0.3: 0.8996810523724112, 0.4: 0.9161303472055209, 0.5: 0.92499829891025, 0.6: 0.9291986675343714, 0.7: 0.9268497476398126, 0.8: 0.9184709593626896}"
89,7.730511472804544e-05,4.24625597000122,1.923421049118042,0.4455459892749786,4,0.3642857142857143,0.11570187486135043,0.9309702829887149,0.6648394351212884,0.9557199331319842,0.9702983315522345,0.3952791916843753,0.6,"{0.2: 0.8036473632335193, 0.3: 0.9058484430357606, 0.4: 0.920011828536571, 0.5: 0.9271867922936509, 0.6: 0.9309702829887149, 0.7: 0.9285902776628415, 0.8: 0.9209058231256287}"
94,4.327557979751057e-05,4.193591499328614,1.9009400606155396,0.43928860425949096,4,0.3285714285714286,0.11122451187708439,0.9320744854173916,0.671206778150001,0.9563229038000713,0.9699849700639316,0.386911733612055,0.6,"{0.2: 0.8440263924438748, 0.3: 0.910048016623264, 0.4: 0.9228585182622592, 0.5: 0.9292343140166156, 0.6: 0.9320744854173916, 0.7: 0.930774940390055, 0.8: 0.9225415155606189}"
99,2.0182409546203555e-05,4.190120792388916,1.904891848564148,0.42190409898757936,4,0.2928571428571428,0.10746961717422192,0.9332674539613782,0.6748558002022538,0.9571384416104924,0.9705819522750744,0.3790065657960422,0.6,"{0.2: 0.8732472122338292, 0.3: 0.9144074061854945, 0.4: 0.9253419640385963, 0.5: 0.9312085146937059, 0.6: 0.9332674539613782, 0.7: 0.9315195642175005, 0.8: 0.9237975035924978}"
104,1.0286124377900624e-05,4.156780672073364,1.893082284927368,0.4139599919319153,4,0.2571428571428571,0.10430734604597092,0.9344038744381834,0.6807314469097978,0.9578484064592571,0.9707074630598447,0.3710327576978437,0.6,"{0.2: 0.8855951157865212, 0.3: 0.9175067096471478, 0.4: 0.9273757902916969, 0.5: 0.9330331060589881, 0.6: 0.9344038744381834, 0.7: 0.9326999601178115, 0.8: 0.9256338656157193}"
